CropID,CropName,Best_Cropping_Pattern,Second_Best_Pattern,Reason
23,Onion,Inter,Mono,"Intercropping with carrot, coriander, or tomato increases returns; monocropping is suitable for export markets."
24,Garlic,Inter,Mono,Intercropping with tomato or spinach maximizes land use; monocropping is practiced for commercial harvest.
25,Cabbage,Mono,Inter,Grows best as a sole crop due to space and nutrient needs; intercropping with lettuce or coriander is possible.
26,Cauliflower,Mono,Inter,Best grown as a monocrop for uniformity; intercropping with spinach or coriander is practiced in kitchen gardens.
27,Broccoli,Mono,Inter,Monocropping ensures quality heads; intercropping with lettuce or herbs is possible in small plots.
28,Carrot,Inter,Mono,Intercropping with onion or radish improves land use; monocropping is common for mechanized harvest.
29,Radish,Inter,Mono,Intercropping with carrot or spinach increases productivity; monocropping is easy for short cycles.
30,Turnip,Inter,Mono,Intercropping with leafy greens or legumes is beneficial; monocropping is suitable for market supply.
31,Cucumber,Inter,Mono,Intercropping with maize or beans provides support and improves yield; monocropping is suitable for trellised systems.
32,Pumpkin,Inter,Mono,Intercropping with maize or beans is traditional; monocropping is used for large-scale production.
33,Gourds,Inter,Mono,Intercropping with maize or pulses increases returns; monocropping is common in commercial cultivation.
34,Melons,Mono,Inter,Monocropping ensures fruit quality and space; intercropping with short greens possible in early stages.
35,Lettuce,Mono,Inter,Monocropping allows uniform harvest; intercropping with carrots or radish is possible in small gardens.
36,Spinach,Mono,Inter,Monocropping ensures quality; intercropping with onion or carrot is possible.
37,Amaranth,Mono,Inter,Monocropping for leafy harvest; intercropping with legumes or root crops in home gardens.
38,Coriander,Inter,Mono,"Intercropping with onion, carrot, or spinach increases land use; monocropping is common for seed production."
39,French bean,Inter,Mono,Intercropping with maize or potato improves yield; monocropping is suitable for bush types.
40,Cowpea,Inter,Mono,"Intercropping with maize, sorghum, or cotton improves soil fertility; monocropping is practiced in dry areas."
41,Mushroom,Mono,Inter,Grown best in controlled monoculture; intercropping not applicable except in integrated farming systems.
42,Banana,Inter,Mono,"Intercropping with pineapple, ginger, or legumes in early years; monocropping for commercial plantations."
43,Papaya,Inter,Mono,Intercropping with short-duration vegetables or legumes in initial years; monocropping as trees mature.
44,Pineapple,Mono,Inter,Monocropping for uniform fruiting; intercropping with banana or ginger in early stages possible.
45,Mango,Inter,Mono,Intercropping with legumes or vegetables in young orchards; monocropping as trees mature.
46,Guava,Inter,Mono,Intercropping with vegetables or pulses in early years; monocropping for mature orchards.
47,Citrus,Inter,Mono,Intercropping with legumes or vegetables in young orchards; monocropping for mature trees.
48,Pomegranate,Inter,Mono,Intercropping with pulses or vegetables in early years; monocropping for established orchards.
49,Sapota,Inter,Mono,Intercropping with legumes or vegetables in early years; monocropping for mature orchards.
50,Coconut,Inter,Mono,"Intercropping with pineapple, banana, or tubers is highly profitable; monocropping is practiced in traditional systems."
51,Arecanut,Inter,Mono,"Intercropping with black pepper, cocoa, or banana increases income; monocropping for traditional plantations."
52,Oil palm,Inter,Mono,Intercropping with pineapple or banana in early years; monocropping for mature plantations.
53,Date palm,Inter,Mono,Intercropping with vegetables or legumes in early years; monocropping as palms mature.
54,Tea,Mono,Inter,Monocropping for uniform plucking and management; intercropping with shade trees or spices possible.
55,Coffee,Mono,Inter,Monocropping for quality; intercropping with pepper or spices in agroforestry systems.
56,Cassava,Inter,Mono,Intercropping with legumes or maize improves soil fertility and yield; monocropping for commercial starch production.
57,Tapioca,Inter,Mono,Intercropping with groundnut or maize increases returns; monocropping is suitable for large-scale production.
